key,lr,seed,outcome,analysable,diverged_at,eta_lam_over_2_median_tail,eta_lam_over_2_max,t_memorise,t_grok,final_train_acc,final_val_acc,n_rows,seconds,batch,best_val_acc,device,dtype,final_train_loss,final_val_loss,final_weight_norm,fraction,log_every,max_steps,n_sharp_rows,optimizer,p,peak_val_loss,sharp_every,sharp_iters,steps,t_grok_before_divergence,t_memorise_before_divergence,task,weight_decay,width
eos_lr100000_s1,100000.0,1,monotone,True,,0.00040972796266913747,0.0004664472363913319,,,0.012542517006802721,0.009139213602550478,201,0.702,full batch,0.010839532412327312,cuda:0,float32,0.010290652440351543,0.010292900758559795,1.003527641061223,0.5,1,200,3,gd,97,0.010309957997445277,100,30,200,,,add,0.0,500
eos_lr100000_s2,100000.0,2,monotone,True,,0.2380768819421064,0.24181335902540013,9044.0,11808.0,1.0,1.0,30001,86.579,full batch,1.0,cuda:0,float32,5.178554390479843e-05,0.0001574060601027427,5.143143264657398,0.5,1,30000,301,gd,97,0.010668977409167288,100,30,30000,,,add,0.0,500
eos_lr300000_s1,300000.0,1,monotone,True,,0.7581716545246309,0.7736390898571699,3077.0,3922.0,1.0,1.0,30001,89.398,full batch,1.0,cuda:0,float32,3.8127190134235865e-06,2.7007301867433316e-05,5.0837566364880695,0.5,1,30000,301,gd,97,0.01075336342581339,100,30,30000,,,add,0.0,500
eos_lr300000_s2,300000.0,2,monotone,True,,0.7451316832884913,0.7559954838143312,3016.0,3939.0,1.0,1.0,30001,86.585,full batch,1.0,cuda:0,float32,3.4821080556632477e-06,2.299509882536442e-05,5.105267812115112,0.5,1,30000,301,gd,97,0.010669764579932513,100,30,30000,,,add,0.0,500
eos_lr1e+06_s1,1000000.0,1,at the edge,True,,0.9692179219200625,1.251563617188367,925.0,1179.0,1.0,1.0,30001,90.884,full batch,1.0,cuda:0,float32,8.622060412125238e-07,3.460218007419028e-06,5.688195133927356,0.5,1,30000,301,gd,97,0.03666372561338015,100,30,30000,,,add,0.0,500
eos_lr1e+06_s2,1000000.0,2,at the edge,True,,0.970507812780852,1.257504777640861,907.0,1184.0,1.0,1.0,30001,91.317,full batch,1.0,cuda:0,float32,9.051906618338178e-07,3.0370310698411556e-06,5.7173317713777365,0.5,1,30000,301,gd,97,0.03810597384455421,100,30,30000,,,add,0.0,500
eos_lr1.5e+06_s1,1500000.0,1,at the edge,True,,0.9735302057833906,1.480378102769464,617.0,802.0,1.0,1.0,30001,92.511,full batch,1.0,cuda:0,float32,7.997718730132688e-07,1.516574418572065e-06,6.496798107208464,0.5,1,30000,301,gd,97,0.056398749329821585,100,30,30000,,,add,0.0,500
eos_lr1.5e+06_s2,1500000.0,2,at the edge,True,,0.9699345753233501,1.4576399394172768,605.0,804.0,1.0,1.0,30001,91.289,full batch,1.0,cuda:0,float32,6.198050849151708e-07,1.1736517596276418e-06,6.51435190240461,0.5,1,30000,301,gd,97,0.05573640517839927,100,30,30000,,,add,0.0,500
eos_lr2e+06_s1,2000000.0,1,at the edge,True,,0.9773309557203902,1.4517859199258965,464.0,606.0,1.0,1.0,30001,91.146,full batch,1.0,cuda:0,float32,6.622649262643511e-07,9.964063677258113e-07,7.265331883579359,0.5,1,30000,301,gd,97,0.0757075860087974,100,30,30000,,,add,0.0,500
eos_lr2e+06_s2,2000000.0,2,at the edge,True,,0.9777999139259919,1.463906414755911,455.0,609.0,1.0,1.0,30001,91.202,full batch,1.0,cuda:0,float32,6.152397901832418e-07,7.63040873487103e-07,7.271124264769657,0.5,1,30000,301,gd,97,0.07905996949875105,100,30,30000,,,add,0.0,500
eos_lr2.5e+06_s1,2500000.0,1,diverges,False,688.0,0.7796409207116994,1.3142070542926376,,,0.009566326530612245,0.011052072263549416,689,2.067,full batch,1.0,cuda:0,float32,inf,inf,inf,0.5,1,30000,7,gd,97,inf,100,30,688,504.0,371.0,add,0.0,500
eos_lr2.5e+06_s2,2500000.0,2,at the edge,True,,0.9877931006485596,1.645090748070288,364.0,495.0,1.0,1.0,30001,91.129,full batch,1.0,cuda:0,float32,4.995549400064352e-07,5.761810026726022e-07,8.050941343682405,0.5,1,30000,301,gd,97,0.09001679062256922,100,30,30000,,,add,0.0,500
eos_lr2.8e+06_s1,2800000.0,1,at the edge,True,,0.9918944442688371,1.475697717978619,332.0,464.0,1.0,1.0,30001,91.264,full batch,1.0,cuda:0,float32,1.0996990046130215e-06,1.3864979759943165e-06,8.742062665623974,0.5,1,30000,301,gd,97,0.10155713236734062,100,30,30000,,,add,0.0,500
eos_lr2.8e+06_s2,2800000.0,2,diverges,False,598.0,0.23965731941189006,0.5272925022836716,,,0.0116921768707483,0.008926673751328374,599,1.778,full batch,1.0,cuda:0,float32,inf,inf,31247564.952628177,0.5,1,30000,6,gd,97,inf,100,30,598,457.0,325.0,add,0.0,500
eos_lr3e+06_s1,3000000.0,1,monotone,True,,0.0405807494274768,0.053949916534179465,,,0.47427721088435376,0.0,201,0.65,full batch,0.010626992561105207,cuda:0,float32,0.010014790891388773,0.010294474966354134,1.5883976507196391,0.5,1,200,3,gd,97,0.010309957997445277,100,30,200,,,add,0.0,500
eos_lr3e+06_s2,3000000.0,2,diverges,False,455.0,0.2928029658733067,0.4295801261378074,,,0.009991496598639456,0.010626992561105207,456,1.381,full batch,0.999787460148778,cuda:0,float32,inf,inf,inf,0.5,1,30000,5,gd,97,inf,100,30,455,429.0,304.0,add,0.0,500
