observer,k,seed,MG,error
latent_fro,1,0,1.3295686943288174,0.3295686943288174
latent_projection,1,0,16.018188265477065,15.018188265477065
gradient_fro,1,0,1.3295686946185001,0.32956869461850014
output_fro,1,0,1.3295686943288174,0.3295686943288174
parameter_fro,1,0,1.3295686943288174,0.3295686943288174
parameter_projection,1,0,16.09621551122469,15.096215511224688
loss,1,0,1.3295922981185708,0.3295922981185708
latent_fro,2,0,1.3295686943288174,-0.6704313056711826
latent_projection,2,0,16.321435272576835,14.321435272576835
gradient_fro,2,0,1.329568694618491,-0.670431305381509
output_fro,2,0,1.3295686943288174,-0.6704313056711826
parameter_fro,2,0,1.3295686943288174,-0.6704313056711826
parameter_projection,2,0,16.173914707483043,14.173914707483043
loss,2,0,1.3295922981185704,-0.6704077018814296
latent_fro,3,0,1.3295686943288174,-1.6704313056711826
latent_projection,3,0,16.308203162050944,13.308203162050944
gradient_fro,3,0,1.3295686946184782,-1.6704313053815218
output_fro,3,0,1.3295686943288174,-1.6704313056711826
parameter_fro,3,0,1.3295686943288174,-1.6704313056711826
parameter_projection,3,0,15.894886647982528,12.894886647982528
loss,3,0,1.3295922981185706,-1.6704077018814294
latent_fro,4,0,1.3295686943288174,-2.6704313056711824
latent_projection,4,0,15.638498299328171,11.638498299328171
gradient_fro,4,0,1.3295686946184968,-2.670431305381503
output_fro,4,0,1.3295686943288174,-2.6704313056711824
parameter_fro,4,0,1.3295686943288174,-2.6704313056711824
parameter_projection,4,0,15.989540949000713,11.989540949000713
loss,4,0,1.3295922981185704,-2.6704077018814294
latent_fro,5,0,1.3295686943288174,-3.6704313056711824
latent_projection,5,0,15.84129295453517,10.84129295453517
gradient_fro,5,0,1.3295686946184981,-3.670431305381502
output_fro,5,0,1.3295686943288174,-3.6704313056711824
parameter_fro,5,0,1.3295686943288174,-3.6704313056711824
parameter_projection,5,0,15.85641181887498,10.85641181887498
loss,5,0,1.3295922981185708,-3.6704077018814294
latent_fro,6,0,1.3295686943288176,-4.670431305671182
latent_projection,6,0,16.074182223845014,10.074182223845014
gradient_fro,6,0,1.3295686946184921,-4.670431305381507
output_fro,6,0,1.3295686943288174,-4.670431305671182
parameter_fro,6,0,1.3295686943288176,-4.670431305671182
parameter_projection,6,0,15.617645413990557,9.617645413990557
loss,6,0,1.3295922981185708,-4.670407701881429
latent_fro,7,0,1.3295686943288174,-5.670431305671182
latent_projection,7,0,15.944692697612176,8.944692697612176
gradient_fro,7,0,1.3295686946185101,-5.67043130538149
output_fro,7,0,1.3295686943288174,-5.670431305671182
parameter_fro,7,0,1.3295686943288174,-5.670431305671182
parameter_projection,7,0,15.919762104678103,8.919762104678103
loss,7,0,1.3295922981185708,-5.670407701881429
latent_fro,8,0,1.3295686943288174,-6.670431305671182
latent_projection,8,0,15.916463692204795,7.916463692204795
gradient_fro,8,0,1.3295686946185052,-6.670431305381495
output_fro,8,0,1.3295686943288174,-6.670431305671182
parameter_fro,8,0,1.3295686943288174,-6.670431305671182
parameter_projection,8,0,15.753685914037742,7.753685914037742
loss,8,0,1.3295922981185708,-6.670407701881429
latent_fro,9,0,1.3295686943288174,-7.670431305671182
latent_projection,9,0,16.10428376729686,7.1042837672968595
gradient_fro,9,0,1.3295686946185001,-7.6704313053815
output_fro,9,0,1.3295686943288174,-7.670431305671182
parameter_fro,9,0,1.3295686943288174,-7.670431305671182
parameter_projection,9,0,15.982618394892137,6.982618394892137
loss,9,0,1.3295922981185708,-7.670407701881429
latent_fro,10,0,1.3295686943288174,-8.670431305671183
latent_projection,10,0,16.081465161614336,6.081465161614336
gradient_fro,10,0,1.329568694618507,-8.670431305381493
output_fro,10,0,1.3295686943288174,-8.670431305671183
parameter_fro,10,0,1.3295686943288174,-8.670431305671183
parameter_projection,10,0,15.894140567024099,5.894140567024099
loss,10,0,1.3295922981185704,-8.67040770188143
latent_fro,11,0,1.3295686943288176,-9.670431305671183
latent_projection,11,0,15.710080160850843,4.710080160850843
gradient_fro,11,0,1.3295686946184937,-9.670431305381506
output_fro,11,0,1.3295686943288174,-9.670431305671183
parameter_fro,11,0,1.3295686943288176,-9.670431305671183
parameter_projection,11,0,15.730290549553546,4.730290549553546
loss,11,0,1.3295922981185708,-9.670407701881429
latent_fro,12,0,1.3295686943288174,-10.670431305671183
latent_projection,12,0,16.03003219773764,4.03003219773764
gradient_fro,12,0,1.329568694618498,-10.670431305381502
output_fro,12,0,1.3295686943288174,-10.670431305671183
parameter_fro,12,0,1.3295686943288174,-10.670431305671183
parameter_projection,12,0,16.03351839974653,4.03351839974653
loss,12,0,1.3295922981185708,-10.670407701881429
latent_fro,13,0,1.3295686943288174,-11.670431305671183
latent_projection,13,0,15.908208641217925,2.908208641217925
gradient_fro,13,0,1.3295686946185026,-11.670431305381497
output_fro,13,0,1.3295686943288174,-11.670431305671183
parameter_fro,13,0,1.3295686943288174,-11.670431305671183
parameter_projection,13,0,15.99143764097725,2.9914376409772494
loss,13,0,1.3295922981185706,-11.67040770188143
latent_fro,14,0,1.3295686943288174,-12.670431305671183
latent_projection,14,0,15.68934317451409,1.6893431745140894
gradient_fro,14,0,1.3295686946184935,-12.670431305381506
output_fro,14,0,1.3295686943288174,-12.670431305671183
parameter_fro,14,0,1.3295686943288174,-12.670431305671183
parameter_projection,14,0,15.73124672266964,1.7312467226696402
loss,14,0,1.3295922981185708,-12.670407701881429
latent_fro,15,0,1.3295686943288176,-13.670431305671183
latent_projection,15,0,15.981597710013219,0.9815977100132187
gradient_fro,15,0,1.3295686946184966,-13.670431305381504
output_fro,15,0,1.3295686943288174,-13.670431305671183
parameter_fro,15,0,1.3295686943288176,-13.670431305671183
parameter_projection,15,0,15.539301872645492,0.5393018726454919
loss,15,0,1.329592298118571,-13.670407701881429
latent_fro,16,0,1.3295686943288176,-14.670431305671183
latent_projection,16,0,15.884174553518394,-0.11582544648160642
gradient_fro,16,0,1.3295686946185004,-14.6704313053815
output_fro,16,0,1.3295686943288174,-14.670431305671183
parameter_fro,16,0,1.3295686943288176,-14.670431305671183
parameter_projection,16,0,15.877400091961839,-0.12259990803816123
loss,16,0,1.329592298118571,-14.670407701881429
latent_fro,17,0,1.3295686943288174,-15.670431305671183
latent_projection,17,0,15.72793924193324,-1.2720607580667593
gradient_fro,17,0,1.3295686946184957,-15.670431305381504
output_fro,17,0,1.3295686943288174,-15.670431305671183
parameter_fro,17,0,1.3295686943288174,-15.670431305671183
parameter_projection,17,0,15.649327681679468,-1.350672318320532
loss,17,0,1.329592298118571,-15.670407701881429
latent_fro,18,0,1.3295686943288174,-16.670431305671183
latent_projection,18,0,15.737704925510895,-2.2622950744891046
gradient_fro,18,0,1.3295686946185057,-16.670431305381495
output_fro,18,0,1.3295686943288174,-16.670431305671183
