observer,k,seed,MG,error
latent_fro,1,0,1.1560342566789816,0.15603425667898163
latent_projection,1,0,1.1851754105868475,0.1851754105868475
gradient_fro,1,0,1.1576206052075109,0.15762060520751087
gradient_projection,1,0,1.1866674296809216,0.18666742968092165
output_fro,1,0,1.1844124498695907,0.1844124498695907
loss,1,0,1.1504008776333177,0.15040087763331766
latent_fro,2,0,1.3281370267689516,-0.6718629732310484
latent_projection,2,0,1.185337974878283,-0.8146620251217169
gradient_fro,2,0,1.3319470136527687,-0.6680529863472313
gradient_projection,2,0,1.1855455986650554,-0.8144544013349446
output_fro,2,0,1.1845887273845406,-0.8154112726154594
loss,2,0,1.3314621193876244,-0.6685378806123756
latent_fro,3,0,1.3335934208474443,-1.6664065791525557
latent_projection,3,0,1.1845962923006041,-1.8154037076993959
gradient_fro,3,0,1.3187628720110958,-1.6812371279889042
gradient_projection,3,0,1.1855427212143055,-1.8144572787856945
output_fro,3,0,1.1841835393888334,-1.8158164606111666
loss,3,0,1.3182407508670397,-1.6817592491329603
latent_fro,4,0,1.3444915425463275,-2.6555084574536725
latent_projection,4,0,1.1837377125734758,-2.8162622874265244
gradient_fro,4,0,1.3405305452578258,-2.659469454742174
gradient_projection,4,0,1.1847828532797042,-2.815217146720296
output_fro,4,0,1.1875426426996654,-2.8124573573003344
loss,4,0,1.3380973149825106,-2.6619026850174894
latent_fro,5,0,1.3137378077883441,-3.6862621922116556
latent_projection,5,0,1.1839091045856942,-3.816090895414306
gradient_fro,5,0,1.2866497838215516,-3.7133502161784486
gradient_projection,5,0,1.183459625646289,-3.816540374353711
output_fro,5,0,1.182828799779845,-3.817171200220155
loss,5,0,1.2869203788211787,-3.7130796211788213
latent_fro,6,0,1.354016297460516,-4.645983702539484
latent_projection,6,0,1.2168340833179967,-4.7831659166820035
gradient_fro,6,0,1.3118560735346665,-4.688143926465333
gradient_projection,6,0,1.1860101435995272,-4.813989856400473
output_fro,6,0,1.1838201207938974,-4.816179879206103
loss,6,0,1.312149402636201,-4.6878505973637985
latent_fro,7,0,1.261938474372556,-5.738061525627444
latent_projection,7,0,1.1829133020275227,-5.817086697972478
gradient_fro,7,0,1.2499104762806865,-5.750089523719313
gradient_projection,7,0,1.1860123118338475,-5.8139876881661525
output_fro,7,0,1.1840305004372491,-5.815969499562751
loss,7,0,1.2505858800989758,-5.749414119901024
latent_fro,8,0,1.2688174259584744,-6.731182574041526
latent_projection,8,0,1.1828468981405729,-6.817153101859427
gradient_fro,8,0,1.3738184177306683,-6.626181582269332
