observer,cfg_id,mae,max_error,rho,inversions,objective
gradient_fro,0,1.432001191805344,2.95054560184374,0.9761904761904763,1,1.874583032081905
gradient_fro,2,1.7055691512689606,2.5710773639837665,1.0,0,2.0912307558665257
gradient_fro,1,2.0450556152349098,3.914939111226875,1.0,0,2.632296481918941
gradient_fro,3,2.809382216343701,5.529805382043497,1.0,0,3.6388530236502254
gradient_projection,2,0.7485845008277262,2.060585496579308,0.9761904761904763,1,1.0576723253146225
gradient_projection,3,0.7026774136276515,2.4123144578526166,0.9047619047619048,2,1.0645245823055438
gradient_projection,1,0.8191547310642946,2.7701972964776296,0.9523809523809524,2,1.234684325535939
gradient_projection,0,1.2433517832645098,3.4212093773043186,0.9523809523809524,2,1.7565331898601575
latent_fro,2,0.4092847155739733,0.9413549379639861,1.0,0,0.5504879562685712
latent_fro,3,0.5431148530454446,1.8865836484483562,0.9285714285714287,1,0.826102400312698
latent_fro,1,0.6192690758719699,1.5114377601878068,0.9523809523809524,2,0.8459847399001409
latent_fro,0,0.9566352554018935,1.795605201241873,0.9285714285714287,1,1.2259760355881744
latent_projection,3,0.6652314444497652,1.440350746399095,0.9761904761904763,1,0.8812840564096295
latent_projection,2,0.7579498760008494,2.2407871569117024,0.9761904761904763,1,1.0940679495376047
latent_projection,1,0.9275153701739944,2.393330647649516,0.9761904761904763,1,1.2865149673214218
latent_projection,0,1.2216273948926795,3.0448809946657205,0.9285714285714287,1,1.6783595440925376
loss,1,0.31092023043486927,0.6064352282449352,1.0,0,0.40188551467160955
loss,0,0.5394545814693694,1.1785666192875839,0.9761904761904763,1,0.716239574362507
loss,2,0.6639882343493624,1.9321568163275735,1.0,0,0.9538117567984984
loss,3,0.9531263944484993,2.235262525291702,1.0,0,1.2884157732422548
output_fro,2,0.43770378978088204,1.3385495836417638,1.0,0,0.6384862273271465
output_fro,1,0.90247410116646,2.388305547592701,0.9761904761904763,1,1.2607199333053651
output_fro,3,0.9472097315773272,2.730460499871425,1.0,0,1.356778806558041
output_fro,0,1.244637683484908,3.2359087923116983,0.9285714285714287,1,1.7300240023316626
output_projection,3,0.8928523174112379,2.6393838796673537,0.9285714285714287,1,1.288759899361341
output_projection,2,0.9443767600723136,2.3113234780546383,1.0,0,1.2910752817805093
output_projection,1,1.085450961949946,3.0373838412305005,0.9761904761904763,1,1.541058538134521
output_projection,0,1.3040869280151228,3.4472706902207495,0.9523809523809524,2,1.8211775315482353
parameter_fro,3,0.5158916603566948,1.4584234772915448,0.9761904761904763,1,0.7346551819504265
parameter_fro,2,0.6660110666040165,1.6958107056853597,0.9761904761904763,1,0.9203826724568205
parameter_fro,1,0.8837808734872932,2.4248478068788426,0.9523809523809524,2,1.2475080445191196
parameter_fro,0,1.2128531143645396,3.097568014781075,0.9761904761904763,1,1.6774883165817007
parameter_projection,3,0.6025216968543563,1.3044904545336173,0.9047619047619048,2,0.7981952650343989
parameter_projection,2,0.7700274795237838,2.3702984089392976,0.9761904761904763,1,1.1255722408646784
parameter_projection,1,0.9120378810588894,2.5391000869258358,1.0,0,1.2929028940977647
parameter_projection,0,1.1855716594788563,3.2540212784854354,0.9285714285714287,1,1.6736748512516717
