seed,k,cfg_id,functional_rank,functional_ratio,trajectory_rank,trajectory_pr,trajectory_ratio,update_rank,update_pr,update_ratio,mean_accuracy,min_accuracy,resonance_margin
1,1,0,1,1.0,1,1.0,1.0,1,1.0,1.0,0.9499999999999998,0.95,0.14227922061357856
1,2,0,2,0.9994610818597415,2,1.9103219880694482,0.8023946886422425,2,1.9946839594540315,0.9496416442557187,0.9499999999999998,0.95,0.028605352067620382
1,3,0,3,0.997981775138342,3,2.8216387493905044,0.7450512159925382,3,2.9860545901402475,0.9231127901334226,0.9499999999999998,0.95,0.0034608532095746214
1,4,0,4,0.9979642063434686,4,3.8283234619711046,0.7469814773668139,4,3.9547812106556255,0.8655076009775203,0.9499999999999998,0.95,0.0004991932678259092
1,5,0,5,0.9954645280795961,5,4.669923726312966,0.6943370589532046,5,4.968604516084868,0.8981623357165232,0.9499999999999998,0.95,0.0004991932678259092
1,6,0,6,0.9932773873427423,6,5.700913170992057,0.7004061523054264,6,5.881941085068014,0.8342066164798714,0.9499999999999998,0.95,8.493901414352578e-05
2,1,0,1,1.0,1,1.0,1.0,1,1.0,1.0,0.9600000000000003,0.96,0.14227922061357856
1,7,0,7,0.9950027941713641,7,6.471674340805231,0.6766677963060884,7,6.907811045416194,0.8452280181328655,0.9502866666666666,0.95,5.98077562541377e-06
1,8,0,8,0.9893454078882755,8,7.503469089188006,0.6872196232334723,8,7.858090341799339,0.8282121064126153,0.9540833333333333,0.95,1.4737140961229578e-05
2,2,0,2,0.9993344610473659,2,1.9374404891641608,0.8338798145799008,2,1.9996260370401333,0.9864168466642913,0.9600000000000003,0.96,0.028605352067620382
2,3,0,3,0.9988295337720439,3,2.7016151944359184,0.6430852212379554,3,2.946779408154337,0.8511404581112046,0.9600000000000003,0.96,0.0034608532095746214
2,4,0,4,0.9979825916432423,4,3.611797241633343,0.6725412448799926,4,3.943038600354969,0.8538101706006846,0.9600000000000003,0.96,0.0004991932678259092
2,5,0,5,0.9983493486917177,5,4.755667628894444,0.7083198400945745,5,4.868091802812906,0.8052509455920391,0.9600000000000003,0.96,0.0004991932678259092
2,6,0,6,0.9946794271789849,6,5.611602998911499,0.7151872306784636,6,5.95150855905578,0.8734306930880423,0.9600000000000003,0.96,8.493901414352578e-05
1,1,1,1,1.0,1,1.0,1.0,1,1.0,1.0,0.9499999999999997,0.95,0.18970562748477143
2,7,0,7,0.9954776528954686,7,6.705375377633576,0.7545142724158537,7,6.966998389703775,0.8877911730228709,0.9600000000000003,0.96,5.98077562541377e-06
2,8,0,8,0.9962067671863771,8,7.5573972037388835,0.6865908754366493,8,7.927392019002793,0.8694893903753472,0.9600000000000003,0.96,1.4737140961229578e-05
1,2,1,2,0.9994588794340311,2,1.9160518564790958,0.8085961833579262,2,1.9936968422179655,0.9452678375484613,0.9499999999999997,0.95,0.024809076270844832
1,3,1,3,0.9982069891760661,3,2.830344447041975,0.7521103819691111,3,2.985475580875983,0.9194603866862021,0.9499999999999997,0.95,0.0011828648600512581
1,4,1,4,0.9981461152088426,4,3.838386243127589,0.7542069145815876,4,3.9570061812826895,0.8688030682694247,0.9499999999999997,0.95,0.0005172738362833051
1,5,1,5,0.995436103598327,5,4.684188797249556,0.7010371177970902,5,4.964937857474988,0.8937381713932733,0.9499999999999997,0.95,0.0005172738362833051
1,6,1,6,0.99428401798946,6,5.71438924079873,0.7047217164710468,6,5.883953818268129,0.8394970336311255,0.9499999999999997,0.95,1.8808998528796472e-05
2,1,1,1,1.0,1,1.0,1.0,1,1.0,1.0,0.9600000000000004,0.96,0.18970562748477143
2,2,1,2,0.9991788802108359,2,1.9423117369659573,0.8402325770391919,2,1.9993438638991796,0.9820455342417973,0.9600000000000004,0.96,0.024809076270844832
1,7,1,7,0.995958260228961,7,6.49078338022972,0.6825254027993729,7,6.908292816613315,0.8497345249623864,0.9499999999999997,0.95,7.974367500662716e-06
1,8,1,8,0.9949631221019527,8,7.520793347426505,0.6923559709681809,8,7.860307231520803,0.8289504456156326,0.9535349999999998,0.95,1.2049336797215204e-06
2,3,1,3,0.9985959025609412,3,2.7110552287412464,0.64897737931523,3,2.9421161746255007,0.8442150680296037,0.9600000000000004,0.96,0.0011828648600512581
2,4,1,4,0.9984518579127677,4,3.6268270940451077,0.6772353690253449,4,3.938032332150282,0.8473196960396829,0.9600000000000004,0.96,0.0005172738362833051
2,5,1,5,0.9978156139872839,5,4.765746850451715,0.715047324698885,5,4.870491072424122,0.8098488265688495,0.9600000000000004,0.96,0.0005172738362833051
2,6,1,6,0.9955631649755164,6,5.628574377132414,0.7191889331823399,6,5.948499143383567,0.8711764823860826,0.9600000000000004,0.96,1.8808998528796472e-05
2,7,1,7,0.9951622932901788,7,6.721856163700281,0.7615568607886974,7,6.970974768608266,0.897116626623444,0.9600000000000004,0.96,7.974367500662716e-06
1,1,2,1,1.0,1,1.0,1.0,1,1.0,1.0,0.95,0.95,0.2276467529817257
2,8,1,8,0.9960853698098046,8,7.576070926297944,0.6933641369203587,8,7.929064155374212,0.8752451998882753,0.9600000000000004,0.96,1.2049336797215204e-06
1,2,2,2,0.9996238715332278,2,1.923945384535287,0.8174980882692771,2,1.9933936290211662,0.9439970596783323,0.95,0.95,0.00212413854328819
1,3,2,3,0.9987604874095098,3,2.8448547529181867,0.7636968857906881,3,2.985138743636092,0.918046184889861,0.95,0.95,0.00212413854328819
