window,cycles,snr,k1,k2,k3,ordered,separation,usable
300,1,100.0,1.856639015862197,1.8279765063952949,2.059847585237116,False,0.20320856937491905,False
300,1,1000.0,1.4303614898318087,1.4272025056889364,1.43355920245175,False,0.0031977126199413952,False
300,1,10000.0,1.4146103332261808,1.4167757557683376,1.415216438577373,False,0.0006061053511920989,False
300,1,1000000.0,1.4146192368794266,1.4165240606168186,1.4150200067592116,False,0.0004007698797849901,False
300,3,100.0,1.664899105333426,1.9290030746414097,1.9911489183939317,True,0.3262498130605056,False
300,3,1000.0,1.309182627231008,1.7192207095240717,1.8163321223981734,True,0.5071494951671653,True
300,3,10000.0,1.3017028881375285,1.7074305576947746,1.8084019779499672,True,0.5066990898124386,True
300,3,1000000.0,1.3012124187862815,1.707113729810218,1.808639656804544,True,0.5074272380182625,True
300,10,100.0,1.7623402097389782,1.4905075374356744,2.9759531655312097,False,1.2136129557922315,False
300,10,1000.0,1.493187660123499,1.4342603968721366,2.960504881589992,False,1.467317221466493,False
300,10,10000.0,1.4897088299646073,1.4354865045699112,2.9614897019108204,False,1.471780871946213,False
300,10,1000000.0,1.4898145009994581,1.4357074123872666,2.961607094559804,False,1.4717925935603458,False
300,30,100.0,1.7381035655933001,1.8273301089327285,3.6083798667387907,True,1.8702763011454906,True
300,30,1000.0,1.5202224516988703,1.8043268886691928,3.5990987462044006,True,2.0788762945055304,True
300,30,10000.0,1.5190993510229844,1.8016499098402912,3.5980959802405756,True,2.078996629217591,True
300,30,1000000.0,1.5191337092487305,1.8013731671659032,3.5980045229259146,True,2.078870813677184,True
300,100,100.0,2.2412804720781105,1.7536420482949602,4.070233420001948,False,1.8289529479238373,False
300,100,1000.0,0.9855870442299384,1.7445463654300595,4.067012364468853,True,3.081425320238915,True
300,100,10000.0,0.731798589243086,1.7441985205981125,4.070178921882102,True,3.338380332639016,True
300,100,1000000.0,0.7230255071784946,1.7442151261212862,4.0705274847797215,True,3.347501977601227,True
1000,1,100.0,3.733988525332318,3.8336414661919798,7.22518927505718,True,3.491200749724862,True
1000,1,1000.0,1.4976495639327674,1.487647148149562,1.6547937864678128,False,0.15714422253504545,False
1000,1,10000.0,1.3726375866334788,1.3768585907013942,1.385447764695097,True,0.012810178061618105,False
1000,1,1000000.0,1.367667401439084,1.3700172600274279,1.377857705332353,True,0.010190303893269137,False
1000,3,100.0,3.4861441198325758,2.8319424710450383,2.9374382606309855,False,-0.5487058592015903,False
1000,3,1000.0,1.3953916590718782,1.7529965230000297,1.805919593682762,True,0.41052793461088366,False
1000,3,10000.0,1.285551597621382,1.6709684366067763,1.733967617949795,True,0.4484160203284129,False
1000,3,1000000.0,1.2831759039208368,1.6637453637073896,1.7316138199169595,True,0.4484379159961227,False
1000,10,100.0,3.325698849672145,2.121202106933756,2.607264636766859,False,-0.7184342129052861,False
1000,10,1000.0,1.349485642416539,1.6088797421534666,2.2728706090661968,True,0.9233849666496579,True
1000,10,10000.0,1.1967910841273195,1.5965158971918685,2.2697592840823413,True,1.0729681999550218,True
1000,10,1000000.0,1.1918714024927677,1.5960025259382926,2.2699311077397697,True,1.078059705247002,True
1000,30,100.0,2.0947369723456473,2.4342603212464184,2.9145138698975273,True,0.81977689755188,True
1000,30,1000.0,0.5303137357401394,2.277231632822302,2.865398226938003,True,2.3350844911978634,True
1000,30,10000.0,0.45532589378980426,2.272908013690987,2.865383165183928,True,2.4100572713941237,True
1000,30,1000000.0,0.4542568801920726,2.2725091221029423,2.86547182149747,True,2.4112149413053974,True
1000,100,100.0,3.375271377349125,2.8016713700817912,3.993029304838689,False,0.6177579274895639,False
1000,100,1000.0,1.3525027479080793,2.7651970094238245,3.9814578609041407,True,2.6289551129960613,True
1000,100,10000.0,1.309315560586812,2.764042930596,3.981774980059405,True,2.6724594194725926,True
1000,100,1000000.0,1.3078148643792302,2.763930101729655,3.981833419641408,True,2.674018555262178,True
3000,1,100.0,8.833116482131047,8.295596509711213,10.370006140359338,False,1.5368896582282918,False
3000,1,1000.0,1.8412691673721648,1.8302616870381765,2.5131531849370354,False,0.6718840175648706,False
3000,1,10000.0,1.3784620047472587,1.3877017977388288,1.418296737118745,True,0.03983473237148627,False
3000,1,1000000.0,1.346079906292008,1.3478811977484921,1.3560933545864775,True,0.010013448294469596,False
3000,3,100.0,7.635362061429876,5.871530967340829,5.92832420421593,False,-1.7070378572139457,False
3000,3,1000.0,1.8116628757294582,1.9539232630215146,2.0117440811256366,True,0.20008120539617846,False
3000,3,10000.0,1.354697290801439,1.667878109055062,1.7020022079803794,True,0.3473049171789404,False
3000,3,1000000.0,1.3255508184310631,1.610785325730068,1.6672120088721558,True,0.34166119044109267,False
3000,10,100.0,7.160640804147246,3.878608062599464,4.111354717020565,False,-3.0492860871266805,False
3000,10,1000.0,1.8987365798746687,1.8596962424172272,2.2187394059594276,False,0.32000282608475894,False
3000,10,10000.0,1.431931183797004,1.7791291707463304,2.129608901861719,True,0.6976777180647149,True
3000,10,1000000.0,1.4137211365288733,1.777124326950285,2.1237466337115114,True,0.7100254971826381,True
3000,30,100.0,6.994449816477641,2.8263439129338686,2.9542631014884724,False,-4.040186714989169,False
3000,30,1000.0,1.0862466007351739,1.853014937531189,2.3845734528492284,True,1.2983268521140545,True
3000,30,10000.0,0.7777739939961459,1.8369595104728396,2.37615127455581,True,1.5983772805596643,True
3000,30,1000000.0,0.7718217836155726,1.836885164853139,2.3760938322594902,True,1.6042720486439177,True
3000,100,100.0,6.935684616740854,1.7790681978481895,2.945760602893698,False,-3.989924013847156,False
3000,100,1000.0,2.0241092781393024,1.5444813823562669,2.8352509418711676,False,0.8111416637318651,False
3000,100,10000.0,1.1994394619767867,1.5398541713705636,2.832732416939981,True,1.633292954963194,True
3000,100,1000000.0,1.1777277530970747,1.5397504909712725,2.8325827144354196,True,1.654854961338345,True
