observer,k,seed,expected,class,LB,MG,PR,TwoNN,roughness
norm_fro,1,0,1.0,good,1.5522999766515175,1.2211799665918937,1.9937767504146189,0.6582130495610868,0.8649649190255216
norm_fro_sq,1,0,1.0,good,1.5523034912446259,1.2211909873885405,1.9938222027412478,0.6582392554886333,0.8649759948723145
trace,1,0,1.0,good,1.5522986408288484,1.2211802454736551,1.9918671432905126,0.6582085433966807,0.8645002881002509
logdet,1,0,1.0,good,1.5522965045506554,1.221176425232424,1.9938332668035408,0.6582189951299174,0.8649814777640695
norm_l1,1,0,1.0,good,1.5522976137478341,1.2211763538959335,1.9918671433850705,0.6582174407855393,0.8645002887174111
proj_rand0,1,0,1.0,good,1.5523022826631718,1.221184813345434,1.991867143364219,0.6582277495576847,0.8645002886219524
proj_rand1,1,0,1.0,good,1.5522999130084598,1.2211792659395833,1.9918671434483595,0.6582197755830457,0.8645002879573752
proj_rand2,1,0,1.0,good,1.5522978023781493,1.2211770015288834,1.9918671432368245,0.6582104145495871,0.8645002892018883
proj_rand3,1,0,1.0,good,1.5523008743818714,1.2211781417732828,1.99186714344854,0.658215664376263,0.8645002887845401
coord_active0,1,0,1.0,bad_by_construction,1.5523001507300556,1.221178479564162,1.9918671433009425,0.6582148770395418,0.8645002883202199
proj_half_active,1,0,1.0,bad_by_construction,1.5523014403033804,1.221185242320482,1.9918671433223014,0.658222295524557,0.8645002883573218
coord_inactive,1,0,,degenerate,17.48366880056884,13.173212696739103,14.907481194240912,13.514191741910066,1.423773499448001
proj_inactive_only,1,0,,degenerate,15.0,11.750996004102463,10.233748804619006,13.107055739368505,1.0007506336270362
norm_fro,2,0,2.0,good,3.3224307840699785,2.40694754655931,2.5452880858268285,2.412706422924868,0.9242120828246466
norm_fro_sq,2,0,2.0,good,3.3225274082877467,2.4070245600744986,2.54533506254755,2.412733235568561,0.9242211218783227
trace,2,0,2.0,good,3.145451609237636,2.3537627211139087,2.5609600478057932,2.4366865742518815,0.9272330018297287
