seed,segment,true_k,n_windows,MG,roughness
0,0,1,31,1.2211766426291593,0.8650732371462457
0,1,2,31,2.2032865959366914,0.9484076133719052
0,2,3,31,3.163778716584981,0.8682193705718532
0,3,4,31,4.204323357661541,0.9129270942220974
0,4,3,31,3.162253306033717,0.8682739861105051
0,5,2,31,2.20339940767753,0.9483516905961424
1,0,1,31,1.2211778680086824,0.8646602313813291
1,1,2,31,2.269252046009053,0.9345336264267138
1,2,3,31,3.577602021013184,0.8922898582349595
1,3,4,31,4.451974742187892,0.9239536189552431
1,4,3,31,3.578671637595814,0.8922999215761124
1,5,2,31,2.2679425789517396,0.9345274178851373
2,0,1,31,1.2211912034920378,0.8648460407082975
2,1,2,31,2.6679023475688006,0.9122361385685082
2,2,3,31,3.4581705980080155,0.8592270693319152
2,3,4,31,4.160663210759758,0.8791511997700346
2,4,3,31,3.4551593021140787,0.8592164551399952
2,5,2,31,2.6686285825503506,0.9122324404901223
