observer,k,seed,metric,value
norm_fro,1,0,MG,1.2211816832747997
norm_fro,1,1,MG,1.2211848532990515
norm_fro,1,2,MG,1.2211746761354452
norm_fro,2,0,MG,2.4035728994143337
norm_fro,2,1,MG,2.202975662316237
norm_fro,2,2,MG,2.7475752288564212
norm_fro,3,0,MG,3.471687119419629
norm_fro,3,1,MG,3.584279824280709
norm_fro,3,2,MG,3.0636080529907437
norm_fro,4,0,MG,4.1333360934177765
norm_fro,4,1,MG,4.812355586935239
norm_fro,4,2,MG,3.787666338957057
norm_fro,5,0,MG,4.837208647257945
norm_fro,5,1,MG,4.6518908556848775
norm_fro,5,2,MG,4.589497930544327
norm_fro,6,0,MG,4.64878060822631
norm_fro,6,1,MG,4.655547013749349
norm_fro,6,2,MG,4.211123979103633
trace,1,0,MG,1.2211809584281477
trace,1,1,MG,1.221165063701141
trace,1,2,MG,1.2211902777043284
trace,2,0,MG,2.3498469445295838
trace,2,1,MG,2.2816857663778145
trace,2,2,MG,2.1994093891598885
trace,3,0,MG,3.7283282024125475
trace,3,1,MG,3.421416282178666
trace,3,2,MG,3.0939973459679715
trace,4,0,MG,4.167432706054238
trace,4,1,MG,4.520143562223968
trace,4,2,MG,4.143634547244341
trace,5,0,MG,4.4913168224312345
trace,5,1,MG,4.556624906701958
trace,5,2,MG,4.451081486902559
trace,6,0,MG,4.4671613713617875
trace,6,1,MG,4.595834143246898
trace,6,2,MG,4.639259555653242
logdet,1,0,MG,1.221171193698917
logdet,1,1,MG,1.2211751651094676
logdet,1,2,MG,1.2211792174255025
logdet,2,0,MG,2.3082916356429566
logdet,2,1,MG,2.514146471272607
logdet,2,2,MG,2.693926582000854
logdet,3,0,MG,3.5259809612687834
logdet,3,1,MG,3.3080916581635242
logdet,3,2,MG,3.236571922468367
logdet,4,0,MG,4.1577740930522396
logdet,4,1,MG,4.503654145681294
logdet,4,2,MG,3.8735972760999653
logdet,5,0,MG,4.489275968833805
logdet,5,1,MG,4.601932388020302
logdet,5,2,MG,4.344959348083531
logdet,6,0,MG,4.655881412358996
logdet,6,1,MG,4.641996496405319
logdet,6,2,MG,4.477149993654811
proj_rand0,1,0,MG,1.2211953972841472
proj_rand0,1,1,MG,1.2211678812358713
proj_rand0,1,2,MG,1.2211753919872361
proj_rand0,2,0,MG,3.006768227226332
proj_rand0,2,1,MG,3.507410578609484
proj_rand0,2,2,MG,3.509856717399444
proj_rand0,3,0,MG,3.2232675045458814
proj_rand0,3,1,MG,3.2051297525643894
proj_rand0,3,2,MG,3.220836164735915
proj_rand0,4,0,MG,3.323045706400209
proj_rand0,4,1,MG,4.205864816626217
proj_rand0,4,2,MG,4.7579373225198704
proj_rand0,5,0,MG,4.135312421143503
proj_rand0,5,1,MG,3.484748271670541
proj_rand0,5,2,MG,4.047829956898267
proj_rand0,6,0,MG,4.222250964882008
proj_rand0,6,1,MG,3.883830114944502
proj_rand0,6,2,MG,4.011483667223084
proj_rand1,1,0,MG,1.2211752294477374
proj_rand1,1,1,MG,1.2211839173946841
proj_rand1,1,2,MG,1.2211904847292
proj_rand1,2,0,MG,2.5315278004969564
proj_rand1,2,1,MG,2.269172522933543
proj_rand1,2,2,MG,2.4015881001551933
proj_rand1,3,0,MG,3.495313241770548
proj_rand1,3,1,MG,3.1085172901286464
proj_rand1,3,2,MG,3.036980099810883
proj_rand1,4,0,MG,3.319443013501428
proj_rand1,4,1,MG,3.010383586837859
proj_rand1,4,2,MG,3.5543887701206245
proj_rand1,5,0,MG,3.91069394757026
proj_rand1,5,1,MG,3.6107353637715986
proj_rand1,5,2,MG,4.001965222069647
proj_rand1,6,0,MG,4.5376781349329125
proj_rand1,6,1,MG,3.8033570837059996
proj_rand1,6,2,MG,4.029664415105293
