run,generalises,t_mem,d_pre,d_at,d_post,d_max_post,falls
grok_seed1,True,1240,1.3721437256753863,1.5739700194308366,3.6026827847278176,8.85505791719235,no
grok_seed2,True,1400,1.3531149709719408,1.443635041456494,5.076322979542472,17.998928916394284,no
grok,True,1630,1.3564987236849309,1.4055414635915962,1.7596997801796104,3.799914234182436,no
lowdata15,False,660,1.330819871994913,1.3230193379167585,1.5383011937722264,2.134395087658621,no
lowdata20,False,830,1.3282240794933897,1.3408796732780925,1.7483315204925318,2.3691184719792937,no
nogap,True,770,1.6363339633568166,1.6097860945697493,1.4172752504510981,1.6792352806558084,no
wd0,False,640,1.3267555649275662,1.337500921722458,1.3066409520444915,1.4139039587716107,no
s0_i0,True,1450,1.3584954215522256,1.413332802805761,2.689581777090732,15.351519256296447,no
s0_i2,True,1300,1.3637687100326885,1.5479405630951966,2.588714609638341,12.814747496463948,no
s1_i1,True,1350,1.3750232183768443,1.674239425058657,1.999923065728187,6.845806149580642,no
s1_i3,True,1840,1.3604342704295156,1.4904205009932863,3.120685394919317,13.78357287866924,no
s2_i0,True,1270,1.3688570672250777,1.5759390079743345,1.428759236625119,3.179176924899769,no
s3_i1,True,1430,1.357238832131472,1.4805723951656933,5.609072673570962,14.119569217231893,no
s42_i0,True,1390,1.3707471517068284,1.4020759442427684,2.3675291016742324,14.74290553388736,no
s4_i3,True,1630,1.3602226227215821,1.4358375804476342,2.0292043268894115,13.758969159100586,no
grokking_S_6_logs_st,True,56280,1.3491827628668995,1.3855796557692646,2.0457482836658083,6.72015299445278,no
ma_S_5_st,True,1615,1.496800195150556,3.352243857752266,1.4323482177375717,5.317818858962796,no
ma_S_5_st_with_small_wight_decay,True,2310,1.3465610166915094,1.3373509841925113,1.567996929505205,4.649230478667685,no
ma_S_5_st_without_wight_decay,False,3745,1.3407168088156733,1.3542595407466356,1.350628899659447,1.3874890344279265,no
ma_gd,True,14904,1.3038823472354952,1.3625709124876417,1.3419578065413535,1.458407221664952,no
ma_to_flat_grokking,True,130,1.3369040019970462,1.3193608136411108,1.3053984890134955,1.5513278225439109,no
ma_to_flat_grokking_st,True,1630,1.356498723684925,1.4055414635915464,1.7759765379981296,4.041984404068481,no
ma_st,True,14457,1.338151201900788,1.4216592073698076,1.3398660861219407,1.6539530052371776,no
p_211_wd_0_point_5,True,7650,1.5932476517370617,2.6048368895364105,3.619494844834998,9.049867732644657,no
