step,lam_max,eta_lam_over_2,power_iters,power_rel_change
0,9.214252472133921e-09,0.00046071262360669607,30,0.00017678256881459094
100,8.615276492207613e-09,0.00043076382461038065,30,0.0001225780904395378
200,8.067312151638362e-09,0.0004033656075819181,30,0.0015676562751500442
300,6.837808541604318e-09,0.0003418904270802159,30,0.01653840238752369
400,3.087717637129117e-09,0.00015438588185645585,30,0.023689752308453913
500,6.840713773215157e-09,0.00034203568866075784,60,0.0017584408620329938
600,6.0651150768364914e-09,0.00030325575384182457,48,0.005582594108376552
700,5.81102277408263e-09,0.0002905511387041315,60,0.0018715186226405211
800,5.912328404633627e-09,0.00029561642023168133,60,0.0006573868421562347
900,4.254606444931142e-09,0.00021273032224655708,30,0.0017891509460549228
1000,6.145358000253509e-09,0.00030726790001267545,30,3.295246260401344e-05
1100,6.533787288987014e-09,0.0003266893644493507,30,0.00030823540430595684
1200,6.829522725126935e-09,0.00034147613625634676,30,0.00025827900609140503
1300,7.120465106424945e-09,0.00035602325532124723,30,0.00020631336355520584
1400,7.502741539155977e-09,0.00037513707695779885,30,0.00039195789062966124
1500,8.03287303341449e-09,0.00040164365167072447,30,0.002629748465620716
1600,9.091125185989313e-09,0.00045455625929946564,30,0.0009409227334494173
1700,9.900446684696362e-09,0.0004950223342348181,30,0.0009120911692852694
1800,1.0734940047996133e-08,0.0005367470023998067,30,0.00012559500426427306
1900,1.1543020761450862e-08,0.0005771510380725431,28,6.240244328264243e-05
2000,1.2318299269509225e-08,0.0006159149634754613,30,0.000611139583531014
2100,1.3079100469326477e-08,0.0006539550234663238,26,9.038583956085656e-05
2200,1.3791340514046624e-08,0.0006895670257023312,25,9.20936684057343e-05
2300,1.4460425745710381e-08,0.0007230212872855191,22,7.143299376352498e-05
2400,1.5084717475133402e-08,0.0007542358737566701,20,4.9811933455496216e-05
2500,1.5664497254874732e-08,0.0007832248627437366,25,5.5792889536429126e-05
2600,1.6202587715952177e-08,0.0008101293857976088,19,4.7361950330031665e-05
2700,1.6701193317203433e-08,0.0008350596658601717,23,9.604404880016201e-05
2800,1.7166527754852723e-08,0.0008583263877426361,20,4.739289412882755e-05
2900,1.7600900292791266e-08,0.0008800450146395633,22,4.5819588297878995e-05
3000,1.8009080449132853e-08,0.0009004540224566426,18,7.506255294943062e-05
3100,1.839625696220537e-08,0.0009198128481102685,21,9.06705682369895e-05
3200,1.8767035925293385e-08,0.0009383517962646692,19,8.32946675700352e-05
3300,1.9125099726124972e-08,0.0009562549863062486,25,9.102330066463728e-05
3400,1.9474967416499567e-08,0.0009737483708249783,22,8.400654101744782e-05
3500,1.9820552310534367e-08,0.0009910276155267184,22,5.816465508673211e-05
3600,2.0164286240742513e-08,0.0010082143120371256,18,7.946097620363998e-05
3700,2.0510434239895403e-08,0.0010255217119947702,25,9.414232101786643e-05
3800,2.0862948701960704e-08,0.0010431474350980352,17,6.828556238865282e-05
3900,2.1223396373670766e-08,0.0010611698186835383,21,7.792288229292476e-05
4000,2.1595935706386626e-08,0.0010797967853193313,19,6.456956243469529e-05
4100,2.198247273099696e-08,0.001099123636549848,20,7.765636484818787e-05
4200,2.238640561813554e-08,0.001119320280906777,23,9.156967079195705e-05
4300,2.2811070365946762e-08,0.001140553518297338,20,9.188964116394273e-05
4400,2.325979053807714e-08,0.001162989526903857,22,6.995518133436911e-05
4500,2.3734411769282815e-08,0.0011867205884641407,24,7.394497805076547e-05
4600,2.423912093263425e-08,0.0012119560466317125,23,7.409083727189769e-05
4700,2.47776128503574e-08,0.00123888064251787,26,6.344742781976859e-05
4800,2.5352964172498105e-08,0.0012676482086249052,26,6.775290857561246e-05
4900,2.596966197643269e-08,0.0012984830988216345,24,7.250530451543884e-05
5000,2.658426723201046e-08,0.001329213361600523,30,0.0011864533171112549
5100,2.7345821607127618e-08,0.001367291080356381,23,8.152352726773606e-05
5200,2.81155330128513e-08,0.001405776650642565,30,8.845286959431344e-05
5300,2.894775263939664e-08,0.001447387631969832,30,8.818041282915164e-05
5400,2.9761491049384858e-08,0.001488074552469243,30,0.0014530061960472073
5500,3.0502281589406266e-08,0.0015251140794703133,30,0.004356698851068454
5600,3.1884781037661014e-08,0.0015942390518830507,30,0.00014095071872609967
5700,3.2856583231932746e-08,0.0016428291615966373,30,0.0021193070384998075
5800,3.421075689402642e-08,0.0017105378447013209,30,0.001004001050109497
5900,3.203164311571527e-08,0.0016015821557857635,30,0.0053952338182359436
6000,3.2859638565696514e-08,0.0016429819282848257,30,0.0002799171298255432
6100,3.7252974038892717e-08,0.0018626487019446358,30,0.00596350486086872
6200,4.041694978695887e-08,0.0020208474893479433,30,0.001126282923536175
6300,3.9993238942770404e-08,0.00199966194713852,30,0.0035760554942411435
6400,4.132497366526877e-08,0.0020662486832634386,30,0.00046337904250931013
6500,4.412506626749746e-08,0.002206253313374873,30,0.0009409745588240741
6600,4.7645329459555796e-08,0.00238226647297779,30,0.0016350795856048571
6700,5.0070898538479014e-08,0.0025035449269239507,30,0.0007930490953230538
6800,5.335184027899231e-08,0.0026675920139496156,30,0.0004765865931936216
6900,5.706504424551895e-08,0.0028532522122759474,30,0.000674495227420192
7000,6.078221304051112e-08,0.003039110652025556,30,0.0003199546989970934
7100,6.531197982440062e-08,0.003265598991220031,30,0.0003361675850895642
7200,6.995798429443312e-08,0.003497899214721656,30,0.00038910343803509975
7300,7.492729281466382e-08,0.0037463646407331908,30,0.00030317458977784805
7400,8.108487037361556e-08,0.004054243518680778,30,0.0004159772780189001
