step,ipr_u1,ipr_u2,ipr_w,erank_w1,erank_w2,w1_norm,w2_norm,sv1_0,sv2_0,sv1_1,sv2_1,sv1_2,sv2_2,sv1_3,sv2_3,sv1_4,sv2_4
0,0.04040244998710036,0.040419854615001694,0.04040630926190428,186.66244230876694,95.170732935583,1.000648951116288,1.0003526118455344,84.6479353136221,80.03321651813042,84.22764600450975,79.60552823842669,83.83978071812619,79.06759672761376,83.40543967957733,78.87745389177046,83.26994238961021,78.76858000401268
200,0.03920140119387203,0.03916368326317134,0.039082472681036894,186.39027527216362,95.03790652327463,0.4300959930909844,0.4299528743307042,36.587305602577445,34.67436837585767,36.403415083049254,34.363762778600666,36.08323468068709,34.224286096137206,36.011910945159656,34.0520329494186,35.85149462136377,33.941041322672454
400,0.03484400477084091,0.03467774761191332,0.03465379678352303,185.21720145912803,94.3912081995063,0.14899552152339687,0.14899613918128138,12.81330317390258,12.256851727793556,12.75799721737195,12.149672587198037,12.733711710997152,12.038165141308315,12.657823233949744,12.022385908968383,12.559278881597786,11.954551234198036
600,0.02560143893179472,0.02545150823170034,0.025326887488163443,175.65723104726638,89.78693891072746,0.037306824848979965,0.03748551942476603,3.5704086962352273,3.7148598402156523,3.5153300412131685,3.449525930451697,3.4851962117541775,3.316820402739736,3.4759973359246126,3.298328231891947,3.4388065446993696,3.2635108588900206
800,0.0331882429283712,0.03297488480614864,0.033146615418041286,77.21744109860335,49.88129835656865,0.006490630456185915,0.006459462039455211,1.461887883339767,0.9008850297922176,1.0796065052779913,0.8990242095656543,0.9675031052077588,0.8957198573043277,0.9568482103682829,0.8786351437501975,0.9559216442019789,0.8376065678387421
1000,0.03791489915175235,0.03800063457106827,0.0379225301900125,3.8857251327010056,10.353213073748424,0.0007858999873759314,0.0003978458727665051,0.5335218338575337,0.11863178957196295,0.29995498671778803,0.10808704529409503,0.16568223183174186,0.1047554321142529,0.1615774397997798,0.0803543309135447,0.1591923971560531,0.07213185465994155
1200,0.03925351141618254,0.039293919876826934,0.03917907944503615,183.44957025818354,95.00190567685651,0.000156062843185227,0.00015487887949838848,0.018597643475662052,0.012494262418495371,0.013158882564278992,0.012386351932922082,0.013130781264111688,0.012374794657684481,0.013027567389952031,0.012223716008834613,0.012978938202637886,0.012202819600845264
1400,0.04028051245551126,0.04014999830887156,0.04027139312967113,186.62159393439148,95.09337801521669,0.00014205930475704197,0.00014218700579194345,0.012090496243368115,0.0114422262549721,0.011921694500771232,0.011339227502526354,0.011887328580948953,0.011296986404177749,0.011821557115423006,0.011262433940612496,0.01177419258414213,0.011247111572009005
1600,0.04061791273864705,0.04038696923817099,0.040451040002930996,186.67633737616555,95.21092190281043,0.00013755715940247092,0.00013763946018185622,0.011652240857127991,0.011018020394851984,0.011526225508502089,0.010911190538399129,0.011477635061162275,0.010839346617636763,0.011437705442102406,0.010818598835831176,0.011401318816962654,0.010777037825810914
1800,0.040541882523224305,0.04064995823454436,0.04069842188775614,186.6584811307293,95.21958599782504,0.00013615885501901793,0.00013628585692438536,0.011523020340696202,0.0109227944767725,0.011461913259121579,0.010870265674090308,0.011389254014369056,0.010804244138276475,0.0113247652206746,0.010779873918557361,0.01129733094032682,0.010707081719328958
2000,0.040538847313264945,0.04074410102092215,0.040585794598917986,186.80523499330965,95.20819064178329,0.00013556901743387099,0.0001356283721739329,0.011383524507525737,0.010820345359239768,0.011374845819300875,0.010787862411689112,0.011339575232839964,0.010731383209117103,0.011280219567491865,0.010718909638735487,0.011251693877154939,0.010669814062313102
2200,0.0407406816610188,0.040458844718598085,0.04074327198172553,186.77813407863093,95.18584652835139,0.00013529301814179832,0.00013532825481002455,0.011352708764183986,0.01085215174823567,0.011310298175161677,0.010798459019754713,0.011277910764244963,0.010726526814332114,0.011241149935563976,0.010680573896115871,0.011172854162628254,0.01063855903021842
2400,0.040571070295815574,0.04068811347442618,0.04089161440705652,186.76551291998828,95.16410360134702,0.0001351842619720371,0.00013513363736871573,0.01139859765386257,0.010837719614094285,0.01134677503016575,0.010766843974337841,0.011290053394219686,0.0107207055227529,0.011238571013162538,0.010713679580189059,0.011207661683801148,0.01065666686996687
2600,0.04060532831429848,0.040478150000800656,0.04071178181907142,186.86435181061796,95.15061927249613,0.00013509793197839264,0.000135141865219795,0.011343555031301467,0.010824063332706774,0.011302336725691664,0.010755178846197607,0.011272735766336946,0.010715704552138765,0.011212543947938134,0.010692747373189806,0.01118472769705758,0.010618579888737158
