step,ipr_u1,ipr_u2,ipr_w,erank_w1,erank_w2,w1_norm,w2_norm,sv1_0,sv2_0,sv1_1,sv2_1,sv1_2,sv2_2,sv1_3,sv2_3,sv1_4,sv2_4
0,0.040735951637306145,0.04010777570491066,0.040500116309834286,139.0554422896677,81.11975280916292,1.0023535693765804,0.998861993495237,35.86413479212756,31.89225145155409,35.535001178070935,31.053384478223514,35.38759461965741,30.886356167609783,34.900475055029546,30.299214858229366,34.78574383598283,30.120977300764068
100,0.04073309004144847,0.040110671890529026,0.04049798856263089,139.04905746404376,81.07398379664755,1.0030992807204968,0.9996200412896918,35.886035628094554,31.86496490541749,35.56002860157349,31.270057025110592,35.42162495238165,30.997283313548802,34.92807592090376,30.39735188543395,34.81545133024101,30.112933114455135
200,0.040729789444526134,0.04011329529986566,0.040865151308398524,139.03330589790957,80.7277125438607,1.005974451093923,1.002514070321921,35.98518643436509,33.16306868563981,35.66512098694596,31.852844054498473,35.53235038652927,31.04501795382677,35.03304709980366,30.544651800313286,34.92114498391436,30.13153415848906
300,0.040726049807181156,0.04011570647950355,0.04187825713882217,139.00908098565657,79.46895846808968,1.0107519901672204,1.007316119020674,36.15361476830012,38.0590158343131,35.84145280744643,31.852501574949258,35.71163530206463,31.084545711278082,35.20746442254096,30.63446169418461,35.094190179744466,30.171154007458462
400,0.04072189687880282,0.040117993225962406,0.043846845914110796,138.97683806679973,76.63195294844367,1.017232654979598,1.0138261109742754,36.384447589451554,44.48999261192646,36.081383707721756,31.862581597936277,35.9524772956058,31.130504114461516,35.44423998626206,30.69459320296179,35.32716565205532,30.225856838481107
500,0.040717370072450965,0.04012025919770845,0.04702261245557754,138.93678605156217,71.88175903625387,1.0252338511960424,1.021860651937287,36.67147942904352,51.47127505285641,36.37800710321929,31.883074672307732,36.24852696953353,31.18496272458521,35.736696116940365,30.750451033873205,35.613463826522995,30.29166287253488
600,0.04071251266656687,0.040122615347881814,0.05154656625923407,138.8890390970352,65.46145428782233,1.0345815907941684,1.0312449750967763,37.00886266254588,58.6039386735913,36.72481297069682,31.91428332271943,36.593739053743334,31.248817219126853,36.078351251676715,30.81091236961077,35.94692779408182,30.367781707241903
700,0.040707364179309764,0.04012517252897185,0.0574299330604142,138.8337355253336,58.099732684523666,1.0451049117771656,1.041807370430959,37.390896478639455,65.69793939274601,37.11544421308629,31.95671998435848,36.98212217662912,31.322820304383054,36.462831598653864,30.879760352904047,36.32155350702051,30.454835314502276
800,0.04070195396712718,0.040128035168528566,0.06456047889380266,138.7711293640519,50.6526709211282,1.0566324281086137,1.0533757257632983,37.811891491574244,72.64518854382581,37.543515218005865,32.011047993435305,37.407591842045356,31.407760878037223,36.883831746935456,30.95913530566124,36.73130113840012,30.55379375451811
900,0.040696295636727386,0.04013129280368993,0.07272496219465802,138.70165477544603,43.77698504646439,1.0689908154337002,1.0657760350934158,38.26610890927381,79.37347123586152,38.00250856786657,32.07805407474995,37.86390611864387,31.504510115119572,37.335093098539936,31.050623290784216,37.170018969134325,30.665693887602767
1000,0.04069038269953586,0.04013501726433774,0.08163946817222972,138.62596345300054,37.81656175604238,1.0820051692513497,1.0788327598523058,38.7477598262514,85.82774824215133,38.485745434253424,32.15862487476038,38.34469573463719,31.614032556534873,37.81040523556217,31.155687976881133,37.63148115725895,30.79155840886352
1100,0.040684186016858394,0.040139255296681685,0.09098133685016174,138.54492567224014,32.858296944054466,1.0955011058962532,1.0923709406695867,39.25106134116879,91.96224896022093,38.98645156852172,32.25373882857282,38.84356137353881,31.737382798058828,38.30363278766273,31.275916748961805,38.10950861250159,30.93232547843238
1200,0.04067765175360617,0.04014402637658274,0.10041847941968826,138.459604102553,28.839122546844884,1.109308386531059,1.106219839061494,39.77032522622481,97.73735868594156,39.49791234321651,32.36445620375749,39.35423422034111,31.875695320830225,38.8087960115172,31.413232444509127,38.59814518770011,31.08872307274665
1300,0.040670702476180064,0.04014932181329149,0.10963365842483257,138.3711916181984,25.63318631243696,1.1232656722514625,1.1202176977603036,40.30008442818156,103.11879776661864,40.01370790423604,32.49192320474383,39.87076589665608,32.030161344278106,39.32020255284804,31.57013170017083,39.0918583137368,31.261082219438563
1400,0.040663239058270136,0.040155105760978985,0.11834268118338213,138.28092932347303,23.103245071617014,1.1372258840871048,1.1342171035073727,40.83523886279513,108.07789248523775,40.52797846832569,32.63738819991111,40.38773047044441,32.201992489439284,39.8326322811517,31.749903562090587,39.585727701155704,31.449136413269212
1500,0.04065514466837447,0.040161319247176676,0.12630637607935763,138.19000342913182,21.124554274737754,1.1510615277022826,1.1480903227332457,41.37123606696245,112.59226369303178,41.03568191389847,32.80223920648962,40.90042048106745,32.39237016602477,40.34154444597145,31.956633557185484,40.07561138165052,31.652037526887632
1600,0.04064629012874057,0.04016788593238847,0.1333368824151797,138.09944530056205,19.592901724033442,1.1646692978679034,1.1617339057948708,41.90424800436106,116.64652083624999,41.53279185021643,32.98807719866455,41.40500181096431,32.60236666391799,40.84328260835483,32.19466117768691,40.558250953961455,31.86890207173639
1700,0.04063654082602693,0.04017471900513905,0.1392990879051568,138.01003532683754,18.42507177308862,1.1779733978169074,1.1750719987632994,42.43132679706228,120.23268301460467,42.01644012510635,33.19683076661841,41.89862369343685,32.83285953391173,41.33524150379967,32.467604799913694,41.03132602648355,32.099788104761735
1800,0.04062576048842247,0.04018173052923238,0.14410831377129021,137.9222293646877,17.556352260452982,1.190927196691824,1.1880579989267774,42.95050712282672,123.35019696742278,42.48500453788629,33.43090627109822,42.37944425490682,33.084468243357314,41.81596873633172,32.777756341184464,41.493444576888756,32.34628606489211
