family,rank,seed,observer,peak_tau,period,peak_MG,peak_ident,stable_tau,stable_MG,stable_ident
mf,1,0,loss,1,5.91715976331361,0.8746822221201878,1.0614597332255002,2,0.9221290567609757,1.041860295512772
mf,1,0,state_norm,1,11.857707509881424,1.879740406899477,0.8706788142446412,4,1.629812192623716,0.988188706765631
mf,1,0,velocity_norm,1,5.91715976331361,0.8618076103045359,1.0341377040603166,1,0.8618076103045359,1.0341377040603166
mf,1,0,random_projection,1,11.857707509881424,2.1667274292056957,0.9119247021212619,4,1.9380091338284324,0.9972330260308898
mf,1,1,loss,1,5.9405940594059405,1.744310558452199,0.9947999220314875,1,1.744310558452199,0.9947999220314875
mf,1,1,state_norm,1,5.9405940594059405,1.8903654246222101,1.0123111125166995,1,1.8903654246222101,1.0123111125166995
mf,1,1,velocity_norm,1,5.9405940594059405,1.8007207813506434,0.9928112135097356,1,1.8007207813506434,0.9928112135097356
mf,1,1,random_projection,1,11.857707509881424,2.564081085332502,1.3113194699114326,8,4.200153039365704,1.0111907006771899
mf,1,2,loss,1,5.91715976331361,1.190332318093255,0.8879592420829843,1,1.190332318093255,0.8879592420829843
mf,1,2,state_norm,1,11.811023622047244,1.2962329326268787,0.9500341613853625,2,1.2299988394309254,1.0206833629784922
mf,1,2,velocity_norm,1,5.91715976331361,1.3393586953032472,0.9868447227633057,1,1.3393586953032472,0.9868447227633057
mf,1,2,random_projection,1,11.811023622047244,2.4756038275239938,1.1806320036377265,1,2.4756038275239938,1.1806320036377265
mf,2,0,loss,1,5.928853754940712,1.1842110705504667,0.976990836758059,1,1.1842110705504667,0.976990836758059
mf,2,0,state_norm,1,11.857707509881424,1.7245999388278102,1.1393362974423675,8,2.3924992436214407,1.0067852453245187
mf,2,0,velocity_norm,1,5.928853754940712,1.2005151474379265,1.0094924680029551,1,1.2005151474379265,1.0094924680029551
mf,2,0,random_projection,1,11.857707509881424,2.346736560640613,1.177645890574829,8,1.6132043338197473,1.0361202554690039
mf,2,1,loss,1,5.928853754940712,2.5430323497634357,1.0236562456410345,1,2.5430323497634357,1.0236562456410345
mf,2,1,state_norm,1,11.857707509881424,3.1474749966880817,1.1650995064652525,8,3.4063722710119286,0.9153342277142462
mf,2,1,velocity_norm,1,5.928853754940712,2.600353452475909,0.9261078862742607,1,2.600353452475909,0.9261078862742607
mf,2,1,random_projection,1,11.857707509881424,2.7993796757214393,1.0203238063154507,1,2.7993796757214393,1.0203238063154507
mf,2,2,loss,1,10.204081632653063,3.3551979990568235,1.0861318501666168,2,3.6439434386384786,1.0021384209831656
mf,2,2,state_norm,1,20.408163265306126,2.3310205696014163,1.1614937798321352,8,3.082514232027137,0.9122258616463866
mf,2,2,velocity_norm,1,10.204081632653063,2.8706937415337586,1.1181568477327153,1,2.8706937415337586,1.1181568477327153
mf,2,2,random_projection,1,20.408163265306126,2.8303359840782587,1.2162829952113206,16,4.9838982252235144,1.1195548419081245
mf,4,0,loss,1,7.957559681697614,3.259429599172965,1.1236336734284034,1,3.259429599172965,1.1236336734284034
mf,4,0,state_norm,1,7.957559681697614,3.2678373492604647,1.4250824485962836,16,4.4583897991928305,1.0766552860308871
mf,4,0,velocity_norm,1,7.957559681697614,3.1886206836036717,1.1195433245362814,1,3.1886206836036717,1.1195433245362814
mf,4,0,random_projection,1,15.957446808510639,3.1619982692929787,1.3846886910531844,8,5.2497113663387385,1.1395745424429367
mf,4,1,loss,1,5.9405940594059405,3.418432635919545,0.863531071481289,4,2.8364478544828384,1.00687338136973
mf,4,1,state_norm,1,5.9405940594059405,2.5546226552777584,0.8880365718622864,1,2.5546226552777584,0.8880365718622864
mf,4,1,velocity_norm,1,5.9405940594059405,3.2898407943535646,0.9400348033563614,4,3.0662255938267173,0.9937357779645003
mf,4,1,random_projection,1,13.452914798206278,2.9199724222452144,1.215344853940242,16,3.4240253206836027,1.0736230491110856
mf,4,2,loss,1,5.952380952380953,2.8495700041265164,1.0237001762221554,1,2.8495700041265164,1.0237001762221554
mf,4,2,state_norm,1,5.952380952380953,3.083632232655546,1.157218675271691,16,2.712433304747333,1.1048345973479439
mf,4,2,velocity_norm,1,5.952380952380953,2.9186044903704587,0.9720478736129581,1,2.9186044903704587,0.9720478736129581
mf,4,2,random_projection,1,11.904761904761907,2.980721519647579,1.1757493428485732,1,2.980721519647579,1.1757493428485732
mf,6,0,loss,1,5.9405940594059405,2.98589632129726,1.1147113696127948,16,2.5317937819174747,0.8255493079055781
mf,6,0,state_norm,1,11.857707509881424,3.2925141157827147,1.2754774981643386,16,4.751004157652364,1.0704654033403287
mf,6,0,velocity_norm,1,5.9405940594059405,2.849477936597964,1.1676275448201736,16,2.5484307381615268,0.8363490953874135
mf,6,0,random_projection,1,17.142857142857142,2.7459487710579054,1.3696932844661032,8,4.082694613273901,1.0620867053611167
mf,6,1,loss,1,6.382978723404256,3.3950264871405147,1.0943168644454342,1,3.3950264871405147,1.0943168644454342
mf,6,1,state_norm,1,12.765957446808512,3.4819076419000954,1.211389960598057,16,5.0688196820129265,0.7933737896594646
mf,6,1,velocity_norm,1,6.382978723404256,3.488607719453053,1.1000518945012079,1,3.488607719453053,1.1000518945012079
mf,6,1,random_projection,1,17.142857142857142,2.7160736050953367,1.3816668515786301,16,4.361445624932842,1.0606534875758538
mf,6,2,loss,1,7.731958762886598,3.595448029738573,1.3014835115227594,16,3.692080034423822,0.9120531523838444
mf,6,2,state_norm,1,15.463917525773196,3.300901062106191,1.0880120505634283,2,3.601015373905287,0.9637411380364936
mf,6,2,velocity_norm,1,7.731958762886598,3.5463413709753207,1.3767978499674198,8,4.434169597401209,1.127378900741327
mf,6,2,random_projection,1,17.54385964912281,2.4750355590695876,1.2639580973218911,4,3.2587933595443954,0.9916526702027925
teacher,1,0,loss,5,92.3076923076923,6.009914158911004,1.7973128775034477,16,5.898620709043448,1.671533314659436
teacher,1,0,state_norm,5,92.3076923076923,5.446804065525785,2.3822809988284015,2,5.485490826413876,1.4060085257494106
teacher,1,0,velocity_norm,4,80.0,6.024698228649832,1.838595591473952,8,6.090538772759277,1.5399826943870343
teacher,1,0,random_projection,8,150.0,6.166468660168269,1.909353997186793,1,5.690485702394575,1.43045531132724
teacher,1,1,loss,8,150.0,5.744574751236528,1.7999293045260736,16,5.760319843697296,1.794984529552266
teacher,1,1,state_norm,8,150.0,5.1237545552698744,1.7255926833340303,4,4.797970779952334,1.4554470502287287
teacher,1,1,velocity_norm,60,1200.0,,,8,5.90404382103341,1.578897307883556
teacher,1,1,random_projection,15,300.0,6.742361010582161,1.7346847263675096,2,5.897006841088902,1.6354597615581727
teacher,1,2,loss,3,66.66666666666666,6.084789674584045,1.709118816487975,16,5.9473636332801645,1.8085774488845574
teacher,1,2,state_norm,60,1200.0,,,2,6.376886639085217,1.4704165058924634
teacher,1,2,velocity_norm,3,66.66666666666666,5.866825305569477,1.8443903492833755,1,6.16384505391569,1.5996662687156253
teacher,1,2,random_projection,4,85.71428571428571,6.260889425455137,1.7383736805527792,8,6.127236025053382,1.441397794785971
teacher,2,0,loss,2,44.444444444444436,6.099131434866099,1.604730237827826,16,6.051130694531845,1.5023073339454005
teacher,2,0,state_norm,60,1200.0,,,1,5.739912297891412,1.7137600409210367
teacher,2,0,velocity_norm,2,44.444444444444436,6.066649371343204,1.789370053007578,4,6.017251195291507,1.6472225052933436
teacher,2,0,random_projection,4,85.71428571428571,5.750743151267358,1.7593988831557352,16,6.39051217976587,1.5782922034283122
teacher,2,1,loss,1,26.666666666666664,6.156473283544623,1.850628271647997,16,5.986511523017292,1.5631116501801527
teacher,2,1,state_norm,30,600.0,12.010301819590946,,2,5.559757583545065,1.5433934419219908
teacher,2,1,velocity_norm,1,26.666666666666664,6.352383246479849,1.7596556698195125,16,5.760001658442648,1.513824561076061
teacher,2,1,random_projection,6,120.0,5.6325976955399195,1.9267502891021375,4,6.149972229348247,1.519874907027155
teacher,2,2,loss,2,40.0,5.996622593009267,1.6949126239808858,4,5.733793884521739,1.5874347330863732
teacher,2,2,state_norm,60,1200.0,,,1,5.517458809095585,1.549370534504576
teacher,2,2,velocity_norm,2,40.0,6.395534361999347,1.6802180828196085,16,6.206297356947662,1.5561951649318069
teacher,2,2,random_projection,8,150.0,6.413713270472838,1.8790772558355715,1,5.651857376310635,1.658638488062893
teacher,4,0,loss,4,80.0,5.851871253195735,1.7737350288330034,4,5.851871253195735,1.7737350288330034
teacher,4,0,state_norm,4,85.71428571428571,5.751045177709754,1.9755844932432989,1,5.559192729311045,1.6193153224698495
teacher,4,0,velocity_norm,4,80.0,5.97643168814333,1.7138652871115687,16,5.382017348866675,1.7849338075830743
teacher,4,0,random_projection,6,120.0,6.370942726349996,1.56557537896607,1,5.9229024750587795,1.6092817329906206
teacher,4,1,loss,2,40.0,6.172217093585865,1.6087213762954877,16,5.705910540956193,1.6687110013077449
teacher,4,1,state_norm,60,1200.0,,,4,5.9427003888408745,1.6544669146102695
teacher,4,1,velocity_norm,1,23.076923076923077,5.45458263429308,1.9000535053911392,8,5.596555823853972,1.7491975686867292
teacher,4,1,random_projection,4,85.71428571428571,5.675197154120013,1.8125346812428456,2,5.858498282138221,1.5734838056008629
teacher,4,2,loss,3,63.1578947368421,6.153166966830609,1.6851274683140953,16,5.997652622588783,1.5584110580691357
teacher,4,2,state_norm,60,1200.0,,,1,5.526952528527539,1.7105512064387376
teacher,4,2,velocity_norm,3,60.0,5.632871687069235,1.841003012620282,16,5.5971971743685955,1.6146885829471374
teacher,4,2,random_projection,20,400.0,6.215578174967575,,4,6.509935930978538,1.616452334431757
