family,rank,seed,observer,period,factor,tau,MG,ident,deg,cross
mf,1,0,loss,5.91715976331361,2,1,0.8746822221201878,1.0614597332255002,False,169.0
mf,1,0,loss,5.91715976331361,4,1,0.8746822221201878,1.0614597332255002,False,169.0
mf,1,0,loss,5.91715976331361,8,1,0.8746822221201878,1.0614597332255002,False,169.0
mf,1,0,state_norm,11.857707509881424,2,1,1.879740406899477,0.8706788142446412,False,84.0
mf,1,0,state_norm,11.857707509881424,4,1,1.879740406899477,0.8706788142446412,False,84.0
mf,1,0,state_norm,11.857707509881424,8,1,1.879740406899477,0.8706788142446412,False,84.0
mf,1,0,velocity_norm,5.91715976331361,2,1,0.8618076103045359,1.0341377040603166,False,169.0
mf,1,0,velocity_norm,5.91715976331361,4,1,0.8618076103045359,1.0341377040603166,False,169.0
mf,1,0,velocity_norm,5.91715976331361,8,1,0.8618076103045359,1.0341377040603166,False,169.0
mf,1,0,random_projection,11.857707509881424,2,1,2.1667274292056957,0.9119247021212619,False,84.0
mf,1,0,random_projection,11.857707509881424,4,1,2.1667274292056957,0.9119247021212619,False,84.0
mf,1,0,random_projection,11.857707509881424,8,1,2.1667274292056957,0.9119247021212619,False,84.0
mf,1,1,loss,5.9405940594059405,2,1,1.744310558452199,0.9947999220314875,False,168.0
mf,1,1,loss,5.9405940594059405,4,1,1.744310558452199,0.9947999220314875,False,168.0
mf,1,1,loss,5.9405940594059405,8,1,1.744310558452199,0.9947999220314875,False,168.0
mf,1,1,state_norm,5.9405940594059405,2,1,1.8903654246222101,1.0123111125166995,False,84.0
mf,1,1,state_norm,5.9405940594059405,4,1,1.8903654246222101,1.0123111125166995,False,84.0
mf,1,1,state_norm,5.9405940594059405,8,1,1.8903654246222101,1.0123111125166995,False,84.0
mf,1,1,velocity_norm,5.9405940594059405,2,1,1.8007207813506434,0.9928112135097356,False,168.0
mf,1,1,velocity_norm,5.9405940594059405,4,1,1.8007207813506434,0.9928112135097356,False,168.0
mf,1,1,velocity_norm,5.9405940594059405,8,1,1.8007207813506434,0.9928112135097356,False,168.0
mf,1,1,random_projection,11.857707509881424,2,1,2.564081085332502,1.3113194699114326,False,84.0
mf,1,1,random_projection,11.857707509881424,4,1,2.564081085332502,1.3113194699114326,False,84.0
mf,1,1,random_projection,11.857707509881424,8,1,2.564081085332502,1.3113194699114326,False,84.0
mf,1,2,loss,5.91715976331361,2,1,1.190332318093255,0.8879592420829843,False,169.0
