family,observer,tau,n,median_MG,median_ident_ratio,median_crossings,frac_degenerate
matrix_factorization_damped,loss,4,6,17.470035781600195,1.45984477676186,2.0,0.0
matrix_factorization_damped,loss,8,6,23.30661089979651,2.2500750569157417,2.0,0.0
matrix_factorization_damped,loss,acorr,6,8.379767471169064,1.4919756183648363,2.0,0.0
matrix_factorization_damped,random_projection,4,6,19.533648264873307,1.4511462777413113,6.0,0.0
matrix_factorization_damped,random_projection,8,6,28.971799671039673,1.8423333174605885,6.0,0.0
matrix_factorization_damped,random_projection,acorr,6,16.917934082064413,1.5288990524245327,6.0,0.0
matrix_factorization_damped,state_norm,4,6,18.36169276555908,1.3894168304640422,3.0,0.0
matrix_factorization_damped,state_norm,8,6,23.812356299270757,2.138814289553867,3.0,0.0
matrix_factorization_damped,state_norm,acorr,6,8.69128498000908,1.5298452667623343,3.0,0.0
matrix_factorization_damped,velocity_norm,4,6,18.2562535148906,1.4129014671950135,2.0,0.0
matrix_factorization_damped,velocity_norm,8,6,24.624063794526503,2.0910755753143744,2.0,0.0
matrix_factorization_damped,velocity_norm,acorr,6,12.985056257426784,1.5241988189088842,2.0,0.0
matrix_factorization_recurrent,loss,4,6,5.674039371700866,1.5621220043397617,450.0,0.0
matrix_factorization_recurrent,loss,8,6,5.785627359918626,1.7388652118861179,450.0,0.0
matrix_factorization_recurrent,loss,acorr,6,3.861283033711197,1.3648457367039895,450.0,0.0
matrix_factorization_recurrent,random_projection,4,6,5.19939805815099,1.5937339486427957,192.0,0.0
matrix_factorization_recurrent,random_projection,8,6,6.350268103676056,1.9428061847890157,192.0,0.0
matrix_factorization_recurrent,random_projection,acorr,6,4.011367713843903,1.5396942533641294,192.0,0.0
matrix_factorization_recurrent,state_norm,4,6,6.287435135481866,1.583052657062493,29.0,0.0
matrix_factorization_recurrent,state_norm,8,6,6.532722287082009,1.6987112700019917,29.0,0.0
matrix_factorization_recurrent,state_norm,acorr,6,12.197497631912697,2.050231070941945,29.0,0.0
matrix_factorization_recurrent,velocity_norm,4,6,5.647650721892643,1.542554976667294,448.0,0.0
matrix_factorization_recurrent,velocity_norm,8,6,5.793858798645012,1.7059261599695592,448.0,0.0
matrix_factorization_recurrent,velocity_norm,acorr,6,3.848654899993882,1.364075736704541,448.0,0.0
teacher_student,loss,4,6,6.026885090939114,1.7514392975095165,242.5,0.0
teacher_student,loss,8,6,6.020697182920889,1.7817806952128912,242.5,0.0
teacher_student,loss,acorr,6,6.134080105566145,1.7539444388073848,242.5,0.0
teacher_student,random_projection,4,6,5.964853452896069,1.7033537832757477,144.5,0.0
teacher_student,random_projection,8,6,6.035916876254495,1.789834147618342,144.5,0.0
teacher_student,random_projection,acorr,6,5.646424425940975,1.7456571583850016,144.5,0.0
teacher_student,state_norm,4,6,5.939324345746627,1.833977988893202,45.5,0.0
teacher_student,state_norm,8,6,6.857695243454227,2.003948231183502,45.5,0.0
teacher_student,state_norm,acorr,6,6.072282148346114,2.1015388242770987,45.5,0.0
teacher_student,velocity_norm,4,6,6.049461576427139,1.7716104966378543,262.0,0.0
teacher_student,velocity_norm,8,6,5.98693165450223,1.7130582857605183,262.0,0.0
teacher_student,velocity_norm,acorr,6,5.994275238892309,1.7633571362668805,262.0,0.0
