r,seed,regime,data_rank,parameter_count,steps,initial_loss,final_loss,initial_test_loss,final_test_loss,gradient_max_error,off_mode_max_error,invariant_relative_drift,min_parameter_sd,hessian_error,analytic_trajectory_max_error
1,0,stationary,32,32,12288,0.49999999999999967,0.48424839904898587,0.5717439420356569,0.5537321771934463,5.551115123125783e-17,1.2826840284363428e-12,7.105427357601002e-15,0.006056043207867582,5.551115123125783e-17,1.4547252291663426e-12
1,1,stationary,32,32,12288,0.49999999999999983,0.48424839904898426,0.426482262637467,0.4130467058099702,5.204170427930421e-17,2.4222290839759353e-12,1.0658141036401503e-14,0.0030090804438879667,5.551115123125783e-17,1.5025758415276869e-12
1,2,stationary,32,32,12288,0.4999999999999997,0.4842483990489788,0.5499458654258602,0.5326208097921574,5.551115123125783e-17,1.9655770067128486e-12,1.0658141036401503e-14,0.037040464664318686,4.163336342344337e-17,1.54662394002969e-12
2,0,stationary,32,32,12288,0.4999999999999999,0.4391512130776924,0.572841877276716,0.49909578325267034,1.1102230246251565e-16,1.2472991389733679e-12,1.0658141036401503e-14,0.059849619105045715,8.326672684688674e-17,4.5538850468318515e-12
2,1,stationary,32,32,12288,0.5,0.4391512130777233,0.4280055540360566,0.37480732521550864,4.163336342344337e-17,1.823298456660183e-12,1.0658141036401503e-14,0.07198971422569411,6.938893903907228e-17,4.765382533022944e-12
2,2,stationary,32,32,12288,0.4999999999999998,0.4391512130778714,0.5520883504933147,0.48705057567610033,4.163336342344337e-17,2.3363255774455638e-12,8.881784197001252e-15,0.023621614702196234,6.938893903907228e-17,5.495437438440831e-12
4,0,stationary,32,32,12288,0.4999999999999998,0.40097758377170467,0.5749171429366291,0.40926143344514165,6.245004513516506e-17,1.2290030104722405e-12,1.7763568394002505e-14,0.14486934642328697,1.3877787807814457e-16,4.43686754003636e-12
4,1,stationary,32,32,12288,0.49999999999999983,0.40097758377167675,0.4341064020367298,0.41829512300819593,9.71445146547012e-17,2.0726753646727047e-12,1.0658141036401503e-14,0.11583844228460528,1.3877787807814457e-16,3.239325474524435e-12
4,2,stationary,32,32,12288,0.4999999999999998,0.40097758377166126,0.553447133097142,0.4070306580968778,6.938893903907228e-17,1.531358373441094e-12,1.2434497875801753e-14,0.09273106380606645,8.326672684688674e-17,2.4374113838376843e-12
6,0,stationary,32,32,12288,0.49999999999999994,0.44888614507584956,0.5781311762887194,0.47849184730227834,1.3877787807814457e-16,1.0142095496767922e-12,2.6645352591003757e-14,0.16099426488757562,1.6653345369377348e-16,3.3174435420946224e-12
6,1,stationary,32,32,12288,0.4999999999999999,0.4488861450756139,0.4374651930626722,0.5046157137261046,1.1102230246251565e-16,1.5851070456207594e-12,2.0872192862952943e-14,0.079522567948293,1.1102230246251565e-16,2.9979907445465415e-12
6,2,stationary,32,32,12288,0.4999999999999997,0.4488861450756566,0.5444136504683484,0.4367748026827487,1.3877787807814457e-16,2.05194194968783e-12,1.4432899320127035e-14,0.10847564043979717,1.942890293094024e-16,3.4346275823438077e-12
4,0,switch,32,32,20480,0.4999999999999998,0.22905729644704442,0.5749171429366291,0.217543598262523,7.28583859910259e-17,1.3423723937977527e-12,1.4210854715202004e-14,0.10474690719284317,1.3877787807814457e-16,
4,1,switch,32,32,20480,0.49999999999999983,0.22905729644698508,0.4341064020367298,0.2023853637582863,9.71445146547012e-17,1.7707571520197973e-12,1.0658141036401503e-14,0.09934080571429596,1.3877787807814457e-16,
4,2,switch,32,32,20480,0.4999999999999998,0.22905729644723835,0.553447133097142,0.23571498787879314,6.938893903907228e-17,1.5620560400719796e-12,1.2434497875801753e-14,0.08721081156868593,8.326672684688674e-17,
4,0,damped,32,32,20480,0.4999999999999998,5.356820050475105e-31,0.5749171429366291,5.655974764179215e-31,9.71445146547012e-17,7.152264891452376e-15,1.0,0.010203932106642295,1.3877787807814457e-16,
4,1,damped,32,32,20480,0.49999999999999983,2.7005797013678883e-31,0.4341064020367298,2.8124783798225985e-31,7.632783294297951e-17,1.1712852909795402e-14,1.0,0.008101470619210255,1.3877787807814457e-16,
4,2,damped,32,32,20480,0.4999999999999998,3.437726664483376e-31,0.553447133097142,3.6941480435043084e-31,5.5294310796760726e-17,9.364037323322805e-15,1.0,0.006399166493868229,8.326672684688674e-17,
