r,window,observer,median,minimum,maximum,ident,degenerate_fraction
1,2048,loss,0.8958329382508545,0.8958329330089347,0.8958329411552669,0.9674655899102164,0.0
1,2048,probe_error,1.074494827250119,1.0744948269869763,1.0744948384453952,1.0056052965143705,0.0
1,8192,loss,1.1199511883338948,1.1199511714011736,1.1199511994252787,0.9993207451936316,0.0
1,8192,probe_error,1.0115651239419217,1.011565114492562,1.0115651279890783,0.9984860946989857,0.0
2,2048,loss,2.389721519198243,2.3897215187124683,2.389721520230664,0.9847678709388388,0.0
2,2048,probe_error,2.603419390409216,2.5716041024451495,2.6650956435818967,1.0336111192634652,0.0
2,8192,loss,2.5675148949338165,2.5675148948017634,2.567514895109628,1.018461536948906,0.0
2,8192,probe_error,2.5473008391444965,1.9576583197074902,2.5851640251972814,1.0247335000364344,0.0
4,2048,loss,3.710313777213361,3.7103137768556653,3.7103137781438873,0.9899065738160583,0.0
4,2048,probe_error,3.4354228839348733,2.976662463202199,3.641178211531362,0.9564835311973667,0.0
4,8192,loss,4.987397295935678,4.987397295801567,4.987397296055632,0.8786979615344963,0.0
4,8192,probe_error,4.1132974549724794,3.5695172449756303,4.253166072227996,0.9114806273881807,0.0
6,2048,loss,5.877738624337878,5.877738623529116,5.8777386244521805,0.9707834433269533,0.0
6,2048,probe_error,4.808183155042709,4.473617207393762,5.023462693747678,1.128334025271825,0.0
6,8192,loss,7.002717169162992,7.002717169143081,7.002717169247673,1.0213488917468838,0.0
6,8192,probe_error,4.976449693824513,4.74356466186692,5.456485859650136,1.0146359935295637,0.0
