step,lambda_max,eta_lambda_over_2,power_iters,seconds
0,-9.992433547973633,-0.014988650321960449,8,0.1262944999616593
160,50.179039001464844,0.07526855850219727,7,0.10087660001590848
320,51.20216751098633,0.0768032512664795,6,0.10430469992570579
480,57.06964874267578,0.08560447311401367,8,0.11552360001951456
640,44.10035705566406,0.0661505355834961,8,0.14331339998170733
800,54.856353759765625,0.08228453063964844,6,0.0773275000974536
960,49.701759338378906,0.07455263900756837,8,0.12455200008116663
1120,68.96951293945312,0.10345426940917969,5,0.07643709983676672
1280,54.824058532714844,0.08223608779907227,7,0.11643090005964041
1440,58.501976013183594,0.08775296401977539,8,0.13681460008956492
1599,64.74545288085938,0.09711817932128906,8,0.14575879997573793
