step,lambda_max,eta_lambda_over_2,power_iters,seconds
0,-9.992433547973633,-0.014988650321960449,8,0.14684489998035133
160,50.179039001464844,0.07526855850219727,7,0.1087289999704808
320,51.20216751098633,0.0768032512664795,6,0.1195123998913914
480,57.06964874267578,0.08560447311401367,8,0.10279530007392168
640,44.10035705566406,0.0661505355834961,8,0.11577740008942783
800,55.83863067626953,0.00837579460144043,6,0.08842080016620457
960,52.235355377197266,0.00783530330657959,8,0.14170439983718097
1120,50.417537689208984,0.007562630653381347,6,0.1092312999535352
1280,48.79313659667969,0.007318970489501952,8,0.12545969989150763
1440,52.34291076660156,0.007851436614990234,5,0.09400539984926581
1599,53.34354019165039,0.008001531028747557,8,0.10242999996989965
