run,signal,metric,spearman_hessian
adam_constant_lr0.003_s0,grad_norm,MG,0.548051948051948
adam_constant_lr0.003_s0,grad_norm,std,-0.18441558441558442
adam_constant_lr0.003_s0,grad_norm,residual_std,-0.1974025974025974
adam_constant_lr0.003_s0,grad_norm,acorr1,-0.43506493506493504
adam_constant_lr0.003_s0,grad_norm,spectral_entropy,0.2922077922077922
adam_constant_lr0.003_s0,probe_loss,MG,-0.14285714285714285
adam_constant_lr0.003_s0,probe_loss,std,-0.08051948051948052
adam_constant_lr0.003_s0,probe_loss,residual_std,-0.35454545454545455
adam_constant_lr0.003_s0,probe_loss,acorr1,-0.28051948051948056
adam_constant_lr0.003_s0,probe_loss,spectral_entropy,0.374025974025974
adam_constant_lr0.003_s0,train_loss,MG,0.22597402597402597
adam_constant_lr0.003_s0,train_loss,std,-0.03766233766233767
adam_constant_lr0.003_s0,train_loss,residual_std,0.011688311688311687
adam_constant_lr0.003_s0,train_loss,acorr1,0.11168831168831168
adam_constant_lr0.003_s0,train_loss,spectral_entropy,0.0
adam_constant_lr0.003_s1,grad_norm,MG,-0.12467532467532469
adam_constant_lr0.003_s1,grad_norm,std,0.7753246753246753
adam_constant_lr0.003_s1,grad_norm,residual_std,0.7922077922077921
adam_constant_lr0.003_s1,grad_norm,acorr1,-0.40649350649350646
adam_constant_lr0.003_s1,grad_norm,spectral_entropy,-0.11948051948051949
adam_constant_lr0.003_s1,probe_loss,MG,-0.11688311688311687
adam_constant_lr0.003_s1,probe_loss,std,0.44935064935064933
adam_constant_lr0.003_s1,probe_loss,residual_std,-0.2
adam_constant_lr0.003_s1,probe_loss,acorr1,-0.6701298701298701
adam_constant_lr0.003_s1,probe_loss,spectral_entropy,0.44935064935064933
adam_constant_lr0.003_s1,train_loss,MG,-0.7064935064935066
adam_constant_lr0.003_s1,train_loss,std,0.7454545454545455
adam_constant_lr0.003_s1,train_loss,residual_std,-0.6142857142857143
adam_constant_lr0.003_s1,train_loss,acorr1,0.5675324675324676
adam_constant_lr0.003_s1,train_loss,spectral_entropy,-0.08311688311688312
adam_constant_lr0.003_s2,grad_norm,MG,-0.6298701298701298
adam_constant_lr0.003_s2,grad_norm,std,0.8597402597402597
adam_constant_lr0.003_s2,grad_norm,residual_std,0.8753246753246753
adam_constant_lr0.003_s2,grad_norm,acorr1,0.17922077922077922
adam_constant_lr0.003_s2,grad_norm,spectral_entropy,-0.4077922077922078
adam_constant_lr0.003_s2,probe_loss,MG,-0.14285714285714285
adam_constant_lr0.003_s2,probe_loss,std,0.8194805194805195
adam_constant_lr0.003_s2,probe_loss,residual_std,0.15064935064935067
adam_constant_lr0.003_s2,probe_loss,acorr1,-0.6324675324675325
adam_constant_lr0.003_s2,probe_loss,spectral_entropy,0.16363636363636364
adam_constant_lr0.003_s2,train_loss,MG,-0.7688311688311688
adam_constant_lr0.003_s2,train_loss,std,0.8818181818181818
adam_constant_lr0.003_s2,train_loss,residual_std,-0.5415584415584416
adam_constant_lr0.003_s2,train_loss,acorr1,0.5714285714285714
adam_constant_lr0.003_s2,train_loss,spectral_entropy,-0.4207792207792207
adam_switch_lr0.003_s0,grad_norm,MG,0.5402597402597402
adam_switch_lr0.003_s0,grad_norm,std,-0.448051948051948
adam_switch_lr0.003_s0,grad_norm,residual_std,-0.4207792207792207
adam_switch_lr0.003_s0,grad_norm,acorr1,-0.6441558441558441
adam_switch_lr0.003_s0,grad_norm,spectral_entropy,0.6857142857142857
adam_switch_lr0.003_s0,probe_loss,MG,-0.2753246753246753
adam_switch_lr0.003_s0,probe_loss,std,-0.6779220779220779
adam_switch_lr0.003_s0,probe_loss,residual_std,-0.735064935064935
adam_switch_lr0.003_s0,probe_loss,acorr1,0.16753246753246753
adam_switch_lr0.003_s0,probe_loss,spectral_entropy,-0.12077922077922078
adam_switch_lr0.003_s0,train_loss,MG,0.7636363636363636
adam_switch_lr0.003_s0,train_loss,std,-0.6298701298701298
adam_switch_lr0.003_s0,train_loss,residual_std,-0.04805194805194805
adam_switch_lr0.003_s0,train_loss,acorr1,-0.7207792207792209
adam_switch_lr0.003_s0,train_loss,spectral_entropy,0.5792207792207792
adam_switch_lr0.003_s1,grad_norm,MG,0.5337662337662338
adam_switch_lr0.003_s1,grad_norm,std,-0.29740259740259745
adam_switch_lr0.003_s1,grad_norm,residual_std,-0.26883116883116887
adam_switch_lr0.003_s1,grad_norm,acorr1,0.16103896103896104
adam_switch_lr0.003_s1,grad_norm,spectral_entropy,0.387012987012987
adam_switch_lr0.003_s1,probe_loss,MG,0.06363636363636363
adam_switch_lr0.003_s1,probe_loss,std,-0.5285714285714286
adam_switch_lr0.003_s1,probe_loss,residual_std,-0.4922077922077922
adam_switch_lr0.003_s1,probe_loss,acorr1,0.22597402597402597
adam_switch_lr0.003_s1,probe_loss,spectral_entropy,-0.20909090909090908
adam_switch_lr0.003_s1,train_loss,MG,0.438961038961039
adam_switch_lr0.003_s1,train_loss,std,-0.45454545454545453
adam_switch_lr0.003_s1,train_loss,residual_std,-0.02077922077922078
adam_switch_lr0.003_s1,train_loss,acorr1,-0.49870129870129876
adam_switch_lr0.003_s1,train_loss,spectral_entropy,0.40259740259740256
adam_switch_lr0.003_s2,grad_norm,MG,0.29480519480519485
adam_switch_lr0.003_s2,grad_norm,std,0.12857142857142856
adam_switch_lr0.003_s2,grad_norm,residual_std,0.174025974025974
adam_switch_lr0.003_s2,grad_norm,acorr1,-0.44415584415584414
adam_switch_lr0.003_s2,grad_norm,spectral_entropy,0.34155844155844156
adam_switch_lr0.003_s2,probe_loss,MG,0.24545454545454545
adam_switch_lr0.003_s2,probe_loss,std,-0.08051948051948052
adam_switch_lr0.003_s2,probe_loss,residual_std,-0.312987012987013
