gain,MG,n_positive,n_weak,lambda_max,lambda_second,kaplan_yorke
0.0,11.274094981637363,18,22,0.0028171988510271,0.0021961476913939,42.28883057305533
0.1,19.08001555981005,7,8,0.0036618968366036,0.0032224675884345,15.71079145325795
0.2,13.68187233711696,3,4,0.0090138819345983,0.0078862538246875,9.450344325354832
0.3,3.277569428036048,0,0,-0.0007819117668655,-0.0099894752515681,0.0
0.4,1.5948957372043613,1,1,0.0002445727346518,-0.0001411168942616,2.000757719725027
0.5,0.9916790726117756,0,1,-1.3426134869033882e-08,-0.2433456549610218,0.0
0.6,0.9916790580083824,0,1,-1.0797477391048001e-10,-0.4434265206936494,0.0
0.8,0.9916781879271672,0,1,-1.2346142885046206e-16,-0.7379151408192766,0.0
1.0,0.9916790794264508,0,1,1.337929291726761e-16,-0.9890531452750022,1.0000000000000002
1.3,0.9916770370774723,0,1,1.451575795271119e-16,-1.3346777273854498,1.0
1.8,0.9916785354812288,0,1,3.099450096664301e-18,-1.917094674567753,1.0
